Aggregated trade id,Price,Quantity,First breakdown trade id,Last breakdown trade id,Trade time,Maker,Ignored
67395081,0.00187960,1.86000000,81761159,81761159,1595459690265,True,True
67395082,0.00187960,2.70000000,81761160,81761160,1595459697615,True,True
67395083,0.00187960,3.25000000,81761161,81761161,1595459705833,True,True
67395084,0.00187950,3.15000000,81761162,81761162,1595459707478,True,True
67395085,0.00187950,3.16000000,81761163,81761163,1595459707621,True,True
67395086,0.00187940,4.11000000,81761164,81761164,1595459707621,True,True
67395087,0.00187970,0.26000000,81761165,81761165,1595459710191,False,True
67395088,0.00187990,3.08000000,81761166,81761166,1595459710191,False,True
67395089,0.00188000,6.38000000,81761167,81761167,1595459710191,False,True
67395090,0.00187980,2.38000000,81761168,81761168,1595459713936,False,True
67395091,0.00188000,7.34000000,81761169,81761169,1595459713936,False,True
67395092,0.00187990,0.18000000,81761170,81761170,1595459714650,True,True
67395093,0.00187990,0.09000000,81761171,81761171,1595459714659,True,True
67395094,0.00187990,3.81000000,81761172,81761172,1595459715010,True,True
67395095,0.00187980,1.41000000,81761173,81761173,1595459715010,True,True
67395096,0.00188000,0.06000000,81761174,81761174,1595459715672,False,True
67395097,0.00187950,0.28000000,81761175,81761175,1595459717321,True,True
67395098,0.00187950,3.69000000,81761176,81761176,1595459718492,True,True
67395099,0.00187940,1.60000000,81761177,81761178,1595459718492,True,True
67395100,0.00187930,2.27000000,81761179,81761179,1595459718492,True,True
67395101,0.00187880,40.74000000,81761180,81761180,1595459718492,True,True
67395102,0.00187930,2.01000000,81761181,81761181,1595459722889,False,True
67395103,0.00188000,1.10000000,81761182,81761182,1595459735177,False,True
67395104,0.00188000,8.09000000,81761183,81761183,1595459735259,False,True
67395105,0.00188000,0.12000000,81761184,81761184,1595459735352,False,True
67395106,0.00187990,0.32000000,81761185,81761185,1595459736112,False,True
67395107,0.00187990,0.46000000,81761186,81761186,1595459736208,False,True
67395108,0.00187970,2.54000000,81761187,81761187,1595459738461,True,True
67395109,0.00187960,11.31000000,81761188,81761188,1595459738461,True,True
67395110,0.00187980,0.14000000,81761189,81761189,1595459738730,False,True
67395111,0.00187960,0.22000000,81761190,81761190,1595459740268,True,True
67395112,0.00187990,0.22000000,81761191,81761191,1595459742547,False,True
67395113,0.00187960,5.94000000,81761192,81761192,1595459742724,True,True
67395114,0.00187990,0.36000000,81761193,81761193,1595459743123,False,True
67395115,0.00188000,0.02000000,81761194,81761194,1595459744017,False,True
67395116,0.00188000,0.02000000,81761195,81761195,1595459744888,False,True
67395117,0.00188000,0.60000000,81761196,81761196,1595459746961,False,True
67395118,0.00188030,5.46000000,81761197,81761197,1595459746961,False,True
67395119,0.00188020,0.15000000,81761198,81761198,1595459748147,False,True
67395120,0.00188030,9.57000000,81761199,81761199,1595459748147,False,True
67395121,0.00188030,9.72000000,81761200,81761200,1595459748718,False,True
67395122,0.00188030,9.72000000,81761201,81761201,1595459749312,False,True
67395123,0.00188030,0.07000000,81761202,81761202,1595459749361,False,True
67395124,0.00188020,0.18000000,81761203,81761203,1595459750494,True,True
67395125,0.00188020,0.22000000,81761204,81761204,1595459751463,True,True
67395126,0.00188020,0.22000000,81761205,81761205,1595459753468,True,True
67395127,0.00188030,0.21000000,81761206,81761206,1595459754094,False,True
67395128,0.00188030,15.25000000,81761207,81761207,1595459754127,False,True
67395129,0.00188090,13.89000000,81761208,81761208,1595459754127,False,True
67395130,0.00188090,4.67000000,81761209,81761209,1595459754198,False,True
67395131,0.00188090,9.71000000,81761210,81761210,1595459754721,False,True
67395132,0.00188090,9.71000000,81761211,81761211,1595459755323,False,True
67395133,0.00188070,5.06000000,81761212,81761213,1595459756176,True,True
67395134,0.00188030,2.24000000,81761214,81761214,1595459756176,True,True
67395135,0.00188080,0.22000000,81761215,81761215,1595459758470,True,True
67395136,0.00188080,0.50000000,81761216,81761216,1595459759459,True,True
67395137,0.00188080,0.22000000,81761217,81761217,1595459759470,True,True
67395138,0.00188090,0.14000000,81761218,81761218,1595459759574,False,True
67395139,0.00188090,0.20000000,81761219,81761219,1595459759797,False,True
67395140,0.00188040,0.18000000,81761220,81761220,1595459763665,True,True
67395141,0.00188060,1.94000000,81761221,81761221,1595459764588,True,True
67395142,0.00188050,1.77000000,81761222,81761222,1595459764588,True,True
67395143,0.00188030,4.65000000,81761223,81761223,1595459764588,True,True
67395144,0.00188090,6.28000000,81761224,81761224,1595459764713,False,True
67395145,0.00188080,0.50000000,81761225,81761225,1595459766211,False,True
67395146,0.00188050,1.89000000,81761226,81761226,1595459766475,True,True
67395147,0.00188040,3.78000000,81761227,81761227,1595459766475,True,True
67395148,0.00188080,0.18000000,81761228,81761228,1595459767142,False,True
67395149,0.00188050,1.84000000,81761229,81761229,1595459768639,True,True
67395150,0.00188030,3.64000000,81761230,81761231,1595459768639,True,True
67395151,0.00188030,5.48000000,81761232,81761232,1595459768639,True,True
67395152,0.00188030,5.48000000,81761233,81761233,1595459768639,True,True
67395153,0.00188030,3.12000000,81761234,81761235,1595459768640,True,True
67395154,0.00188020,2.36000000,81761236,81761236,1595459768640,True,True
67395155,0.00188020,5.48000000,81761237,81761237,1595459768640,True,True
67395156,0.00188020,5.48000000,81761238,81761238,1595459768640,True,True
67395157,0.00188020,5.48000000,81761239,81761239,1595459768640,True,True
67395158,0.00188020,5.48000000,81761240,81761240,1595459768640,True,True
67395159,0.00188020,5.48000000,81761241,81761241,1595459768640,True,True
67395160,0.00188020,5.48000000,81761242,81761242,1595459768640,True,True
67395161,0.00188020,5.48000000,81761243,81761243,1595459768640,True,True
67395162,0.00188020,5.48000000,81761244,81761244,1595459768640,True,True
67395163,0.00188020,5.48000000,81761245,81761245,1595459768641,True,True
67395164,0.00188020,21.71000000,81761246,81761247,1595459768641,True,True
67395165,0.00188020,2.84000000,81761248,81761248,1595459768641,True,True
67395166,0.00188000,2.64000000,81761249,81761249,1595459768641,True,True
67395167,0.00188000,5.48000000,81761250,81761250,1595459768642,True,True
67395168,0.00188000,5.48000000,81761251,81761251,1595459768642,True,True
67395169,0.00188000,5.48000000,81761252,81761252,1595459768642,True,True
67395170,0.00188000,5.48000000,81761253,81761253,1595459768642,True,True
67395171,0.00188000,5.48000000,81761254,81761254,1595459768642,True,True
67395172,0.00188000,5.48000000,81761255,81761255,1595459768642,True,True
67395173,0.00188000,5.48000000,81761256,81761256,1595459768642,True,True
67395174,0.00188000,5.48000000,81761257,81761257,1595459768642,True,True
67395175,0.00188000,5.48000000,81761258,81761258,1595459768643,True,True
67395176,0.00188000,5.48000000,81761259,81761259,1595459768643,True,True
67395177,0.00188000,5.48000000,81761260,81761260,1595459768643,True,True
67395178,0.00188000,5.48000000,81761261,81761261,1595459768644,True,True
67395179,0.00188000,5.48000000,81761262,81761262,1595459768644,True,True
67395180,0.00188000,5.48000000,81761263,81761263,1595459768644,True,True
67395181,0.00188000,5.48000000,81761264,81761264,1595459768644,True,True
67395182,0.00188000,5.48000000,81761265,81761265,1595459768644,True,True
67395183,0.00188000,5.48000000,81761266,81761266,1595459768644,True,True
67395184,0.00188000,5.48000000,81761267,81761267,1595459768644,True,True
