lastUpdateId,bids,asks
742689643,"['0.00188140', '1.65000000']","['0.00188160', '5.35000000']"
742689643,"['0.00188120', '1.27000000']","['0.00188170', '4.52000000']"
742689643,"['0.00188070', '3.45000000']","['0.00188180', '1.87000000']"
742689643,"['0.00188060', '88.05000000']","['0.00188190', '57.05000000']"
742689643,"['0.00188050', '17.51000000']","['0.00188230', '20.03000000']"
742689643,"['0.00188020', '57.05000000']","['0.00188250', '0.14000000']"
742689643,"['0.00188010', '22.53000000']","['0.00188260', '101.73000000']"
742689643,"['0.00188000', '26.58000000']","['0.00188270', '100.00000000']"
742689643,"['0.00187950', '95.63000000']","['0.00188280', '40.77000000']"
742689643,"['0.00187940', '0.12000000']","['0.00188290', '17.36000000']"
742689643,"['0.00187930', '179.11000000']","['0.00188300', '51.55000000']"
742689643,"['0.00187890', '5.45000000']","['0.00188310', '123.70000000']"
742689643,"['0.00187880', '738.65000000']","['0.00188320', '2.74000000']"
742689643,"['0.00187870', '9.71000000']","['0.00188330', '2.25000000']"
742689643,"['0.00187830', '127.51000000']","['0.00188340', '9.72000000']"
742689643,"['0.00187820', '0.80000000']","['0.00188350', '383.33000000']"
742689643,"['0.00187800', '0.24000000']","['0.00188360', '71.98000000']"
742689643,"['0.00187780', '87.05000000']","['0.00188370', '831.34000000']"
742689643,"['0.00187760', '650.00000000']","['0.00188380', '139.42000000']"
742689643,"['0.00187730', '9.71000000']","['0.00188390', '213.88000000']"
742689643,"['0.00187720', '0.24000000']","['0.00188400', '73.65000000']"
742689643,"['0.00187700', '0.21000000']","['0.00188410', '0.34000000']"
742689643,"['0.00187680', '64.24000000']","['0.00188420', '118.60000000']"
742689643,"['0.00187670', '0.08000000']","['0.00188430', '24.21000000']"
742689643,"['0.00187650', '443.73000000']","['0.00188450', '0.07000000']"
742689643,"['0.00187640', '609.68000000']","['0.00188460', '37.41000000']"
742689643,"['0.00187630', '5.57000000']","['0.00188470', '3.43000000']"
742689643,"['0.00187620', '116.55000000']","['0.00188480', '119.79000000']"
742689643,"['0.00187610', '29.60000000']","['0.00188490', '1.24000000']"
742689643,"['0.00187600', '3.81000000']","['0.00188500', '705.84000000']"
742689643,"['0.00187590', '18.58000000']","['0.00188510', '87.82000000']"
742689643,"['0.00187580', '1.00000000']","['0.00188520', '2.74000000']"
742689643,"['0.00187570', '0.20000000']","['0.00188530', '3.19000000']"
742689643,"['0.00187560', '0.40000000']","['0.00188540', '0.07000000']"
742689643,"['0.00187550', '160.30000000']","['0.00188550', '1.93000000']"
742689643,"['0.00187540', '3.76000000']","['0.00188560', '1.59000000']"
742689643,"['0.00187520', '1.07000000']","['0.00188570', '160.54000000']"
742689643,"['0.00187510', '0.41000000']","['0.00188580', '228.10000000']"
742689643,"['0.00187500', '22.50000000']","['0.00188590', '14.73000000']"
742689643,"['0.00187490', '0.24000000']","['0.00188600', '5.06000000']"
