,Name,pfast,pslow,Return,MaxDrawDown,TotalTrades#,WinTrades#,LossTrades#,WinRatio,AverageWin$,AverageLoss$,LongestWinStreak,LongestLossStreak,AverageWinLossRatio,RankReturn,RankMaxDrawDown,RankWinRatio,RankAverageWinLossRatio,Score
0,SMACross,5,10,-0.3473,43.6326,130.0000,39.0000,91.0000,0.3000,179.6129,-115.1390,2.0000,14.0000,1.5600,598,593,507,517,553.7500
1,SMACross,5,11,-0.3263,39.7296,126.0000,39.0000,87.0000,0.3095,167.4799,-112.5800,3.0000,7.0000,1.4877,589,580,460,530,539.7500
2,SMACross,5,12,-0.2631,35.8093,111.0000,34.0000,77.0000,0.3063,192.6618,-119.2406,3.0000,12.0000,1.6157,571,517,473,496,514.2500
3,SMACross,5,13,-0.2772,37.5877,102.0000,34.0000,68.0000,0.3333,203.4041,-139.7284,3.0000,11.0000,1.4557,576,553,318,543,497.5000
4,SMACross,5,14,-0.3053,39.2423,97.0000,29.0000,68.0000,0.2990,232.6117,-142.0268,2.0000,9.0000,1.6378,583,577,523,488,542.7500
5,SMACross,5,15,-0.2685,37.6267,85.0000,27.0000,58.0000,0.3176,256.0075,-162.9094,2.0000,6.0000,1.5715,572,554,417,510,513.2500
6,SMACross,5,16,-0.2685,42.3727,81.0000,25.0000,56.0000,0.3086,281.3102,-170.3654,4.0000,10.0000,1.6512,573,591,466,482,528.0000
7,SMACross,5,17,-0.2594,41.0514,75.0000,25.0000,50.0000,0.3333,259.5355,-177.8358,3.0000,11.0000,1.4594,570,583,318,542,503.2500
8,SMACross,5,18,-0.1409,35.5961,72.0000,23.0000,49.0000,0.3194,275.5390,-158.0946,3.0000,11.0000,1.7429,503,513,406,447,467.2500
9,SMACross,5,19,-0.1470,35.4136,66.0000,21.0000,45.0000,0.3182,324.6278,-179.5707,4.0000,10.0000,1.8078,510,505,412,426,463.2500
10,SMACross,5,20,-0.1555,34.6235,66.0000,22.0000,44.0000,0.3333,295.5359,-178.1731,4.0000,9.0000,1.6587,522,480,318,480,450.0000
11,SMACross,5,21,0.0681,23.0930,62.0000,21.0000,41.0000,0.3387,337.1857,-149.4019,3.0000,9.0000,2.2569,179,173,313,204,217.2500
12,SMACross,5,22,0.0043,26.7727,61.0000,21.0000,40.0000,0.3443,308.4515,-154.3918,4.0000,11.0000,1.9978,301,255,276,339,292.7500
13,SMACross,5,23,0.0351,27.6161,59.0000,20.0000,39.0000,0.3390,322.0813,-156.1734,4.0000,9.0000,2.0623,252,278,312,307,287.2500
14,SMACross,5,24,0.0012,27.3862,57.0000,18.0000,39.0000,0.3158,345.4318,-159.1306,4.0000,10.0000,2.1707,308,274,424,248,313.5000
15,SMACross,5,25,-0.0472,27.4188,52.0000,16.0000,36.0000,0.3077,342.0385,-168.5395,2.0000,10.0000,2.0294,392,275,467,325,364.7500
16,SMACross,5,26,-0.1555,35.4646,55.0000,16.0000,39.0000,0.2909,336.0044,-180.5105,2.0000,11.0000,1.8614,523,507,550,396,494.0000
17,SMACross,5,27,-0.1534,36.2150,54.0000,17.0000,37.0000,0.3148,319.1416,-188.1001,2.0000,11.0000,1.6967,517,530,437,465,487.2500
